id,writer
24405,"[b'Joe Batteer', b'John Rice', b'Dan Gilroy']"
11655,[b'Guillermo del Toro']
11800,[b'Daniel Algrant']
8223,[b'Pedro Almod\xc3\xb3var']
14587,[]
31504,"[b'Andrew Scheinman', b'Gregory K. Pincus']"
41653,[]
53185,[]
95743,[]
23637,[]
17600,[]
10897,"[b'Paul Guay', b'Stephen Mazur', b'Penelope Spheeris']"
349394,[]
21352,"[b'Harry Goodridge', b'Lew Dietz']"
68806,"[b'Graziano Diana', b'Simona Izzo']"
37345,[]
32562,[]
47507,[]
25403,[]
124304,[b'Mar\xc3\xada Luisa Bemberg']
9066,"[b'Laurice Elehwany', b'Rick Copp']"
771,[b'John Hughes']
251,[]
812,"[b'Ted Elliott', b'Terry Rossio', b'Ron Clements', b'John Musker']"
280,[]
581,[b'Michael Blake']
80350,[]
268,"[b'Warren Skaaren', b'Sam Hamm']"
274,[b'Ted Tally']
408,"[b'Ted Sears', b'Richard Creedon', b'Otto Englander', b'Dick Rickard', b'Earl Hurd', b'Merrill De Maris', b'Dorothy Ann Blank', b'Webb Smith']"
10020,[b'Linda Woolverton']
10895,[]
114,[]
41043,[]
576,"[b'Sam Peckinpah', b'Walon Green']"
15477,[]
59146,[]
124472,[]
30528,[]
7300,"[b'Terrel Seltzer', b'Ellen Simon']"
10824,"[b'Rand Ravich', b'Mark Kruger']"
261246,[]
275,"[b'Joel Coen', b'Ethan Coen']"
25059,[]
11827,"[b'Len Blum', b'Daniel Goldberg']"
8766,[]
23570,[]
47333,"[b'Hugh Whitemore', b'Franco Zeffirelli']"
54850,[]
51242,[]
10112,"[b'Larry Clemmons', b'Vance Gerry', b'Ken Anderson', b'Frank Thomas', b'Eric Cleworth', b'Julius Svendsen', b'Ralph Wright']"
4307,[b'Pedro Almod\xc3\xb3var']
46029,"[b'Fernando Trueba', b'David Trueba']"
32308,[b'David M. Evans']
88893,[]
52873,[]
123505,[]
340210,[]
44281,[]
28121,"[b'Martin Lawrence', b'Kim Bass', b'Bentley Kyle Evans', b'Kenny Buford']"
12520,[b'Dan Rosen']
1592,"[b'Steve Shagan', b'Ann Biderman']"
166901,[]
36447,[]
19042,[]
38884,[]
47449,[]
36259,[]
41852,[]
40926,"[b'Jim Dwyer', b'George LaVoo', b'Todd Verow']"
9099,[b'Andy Breckman']
2021,[b'Tim Sullivan']
61752,[]
10988,"[b'Henri-Georges Clouzot', b'Don Roos']"
11479,"[b'Herv\xc3\xa9 Palud', b'Jean-Marie Pallardy']"
398959,[]
287305,[]
339428,[]
12652,"[b'Claude Sautet', b'Jacques Fieschi', b'Yves Ulmann']"
10684,[b'Patrick Sheane Duncan']
954,"[b'David Koepp', b'Steven Zaillian', b'Robert Towne']"
68445,"[b'Fri\xc3\xb0rik \xc3\x9e\xc3\xb3r Fri\xc3\xb0riksson', b'Jim Stark']"
18989,[b'Pen Densham']
10801,[b'Gundula Leni Ohngemach']
54285,[]
8840,"[b'Charles Edward Pogue', b'Patrick Read Johnson']"
278978,[]
124625,[]
11107,"[b'Jon Connolly', b'David Loucka', b'Eric Champnella', b'Keith Mitchell', b'Jeff Buhai', b'Steve Zacharias']"
16417,[]
70934,[]
10363,"[b'Paul G\xc3\xa9gauff', b'Ren\xc3\xa9 Cl\xc3\xa9ment']"
161070,[b'Julian Mitchell']
10539,"[b'Karey Kirkpatrick', b'Jonathan Roberts', b'Steve Bloom']"
10543,[b'Christopher Crowe']
18414,[]
47502,[b'Chazz Palminteri']
11902,"[b'Emir Kusturica', b'Du\xc5\xa1an Kova\xc4\x8devi\xc4\x87']"
27098,[b'Bo Widerberg']
25087,[]
5801,[b'Satyajit Ray']
896,[b'Satyajit Ray']
3065,[]
318177,[]
2300,[]
8069,"[b'Terry Southern', b'Roger Vadim']"
288173,[b'Catherine Cyran']
187851,[]
27768,[]
221917,[b'Shane Connaughton']
8072,[b'Jean-Luc Godard']
35797,[]
88030,[]
185191,[]
83857,[]
33245,[]
124460,[]
27281,[]
105045,[]
40001,"[b'Phoef Sutton', b'Lisa-Maria Radano']"
29621,[b'David L. Corley']
117730,[]
20762,[]
37144,[]
48260,[]
12656,[b'Steven Baigelman']
38867,[b'Elisa M Rothstein']
277270,[]
25969,[b'Jill Gordon']
44103,[]
753,[b'John Cassavetes']
43634,[]
9103,"[b'Jean-Claude Van Damme', b'Frank Dux', b'Steve Klein', b'Paul Mones']"
90214,[]
29649,[]
10990,[b'Floyd Mutrux']
8866,[b'Audrey Wells']
12233,"[b'James Mangold', b'Tim Disney', b'Jim Cox']"
23449,[]
36355,[b'Alan Shapiro']
37667,[]
90148,[]
922,[b'Jim Jarmusch']
11876,"[b'Jean-Claude Carri\xc3\xa8re', b'Jean-Paul Rappeneau', b'Nina Compan\xc3\xa9ez', b'Jean Giono']"
52633,[b'F.X. Maier']
62364,"[b'Juan Luis Iborra', b'Joaqu\xc3\xadn Oristrell', b'Naomi Wise']"
11687,"[b'Christian Clavier', b'Jean-Marie Poir\xc3\xa9']"
9304,"[b'Lowell Ganz', b'Mary Hale', b'Chris Miller', b'Babaloo Mandel']"
73183,[b'Brett Thompson']
131232,[b'Spiro Scimone']
9100,"[b'Peter Filardi', b'Andrew Fleming']"
20759,[]
46063,[]
365371,[]
32513,[b'Malcolm Bradbury']
40651,[]
36915,"[b'Harley Peyton', b'Scott Frank']"
40507,[]
9802,"[b'David Weisberg', b'Douglas Cook', b'Mark Rosner']"
25697,[b'Harvey Miller']
21588,[]
664,"[b'Michael Crichton', b'Anne-Marie Martin']"
11867,"[b'Chris Warner', b'Ilene Chaiken']"
47119,[]
314352,[]
9323,[b'Kazunori Ito']
10280,[b'Tom Holland']
10535,"[b'Rick Friedberg', b'Dick Chudnow', b'Jason Friedberg', b'Aaron Seltzer']"
124613,[]
532,[]
26744,"[b'Abraham Polonsky', b'Ira Wolfert']"
16299,[b'Brent Forrester']
10547,[b'David Twohy']
245268,[]
935,"[b'Stanley Kubrick', b'Terry Southern', b'Peter George']"
55613,"[b'George Toles', b'Guy Maddin']"
215107,[]
41007,[]
35645,[]
